symbol,name,data_interface,monitor_signal,stock_category,importance_degree,total_mv,circ_mv,remarks
sz000002,万科Ａ,A股股票-新浪,,富时A50,,,,
sz000651,格力电器,A股股票-新浪,,富时A50,,,,
sz002415,海康威视,A股股票-新浪,,富时A50,,,,
sz002304,洋河股份,A股股票-新浪,,富时A50,,,,
sz002352,顺丰控股,A股股票-新浪,,富时A50,,,,
sz000333,美的集团,A股股票-新浪,,富时A50,,,,
sz000001,平安银行,A股股票-新浪,,富时A50,,,,
sz000858,五粮液,A股股票-新浪,,富时A50,,,,
sh601211,国泰海通,A股股票-新浪,,富时A50,,,,
sz001979,招商蛇口,A股股票-新浪,,富时A50,,,,
sz300498,温氏股份,A股股票-新浪,,富时A50,,,,
sh601138,工业富联,A股股票-新浪,,富时A50,,,,
sz300760,迈瑞医疗,A股股票-新浪,,富时A50,,,,
sz002818,富森美,A股股票-新浪,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,97,39,
sz000975,山金国际,A股股票-新浪,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,563,513,
sh600489,中金黄金,A股股票-新浪,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,670,670,
sz002739,万达电影,A股股票-新浪,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,226,224,
518800,黄金基金,ETF-东财,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,,,
sz000938,紫金股份,A股股票-新浪,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,690,690,
sh601398,工商银行,A股股票-新浪,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,25376,19196,
159865,养殖ETF,ETF-东财,最高下穿上轨,同花顺-持仓股,持仓,,,
159766,旅游ETF,ETF-东财,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,,,
sz002007,华兰生物,A股股票-新浪,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,294,253,
sh605117,德业股份,A股股票-新浪,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,572,572,
sz000960,锡业股份,A股股票-新浪,最低上穿下轨或收盘上穿上轨,同花顺-持仓股,持仓,232,232,
sh600905,三峡能源,A股股票-新浪,收盘低于下轨,,选出待买,,,
