index,symbol,name,data_interface,monitor_signal,importance_degree,stock_category,total_mv,cost,remarks
441,sz000875,吉电股份,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
442,sz000895,双汇发展,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
443,sz000999,华润三九,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
444,sz001286,陕西能源,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
445,sz002001,新和成,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
446,sz002007,华兰生物,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
447,sz002028,思源电气,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
448,sz002053,云南能投,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
449,sz002078,太阳纸业,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
450,sz002142,宁波银行,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
451,sz003035,南网能源,A股股票-新浪,,,"120标准差小3.5 , 120波幅小20",,,
452,sh600222,太龙药业,A股股票-新浪,,,120标准差小3.5,,,
453,sh600269,赣粤高速,A股股票-新浪,,,120标准差小3.5,,,
454,sh600273,嘉化能源,A股股票-新浪,,,120标准差小3.5,,,
455,sh600351,亚宝药业,A股股票-新浪,,,120标准差小3.5,,,
456,sh600362,江西铜业,A股股票-新浪,,,120标准差小3.5,,,
457,sh600459,贵研铂业,A股股票-新浪,,,120标准差小3.5,,,
458,sh600648,外高桥,A股股票-新浪,,,120标准差小3.5,,,
459,sh600685,中船防务,A股股票-新浪,,,120标准差小3.5,,,
460,sh601069,福元医药,A股股票-新浪,,,120标准差小3.5,,,
461,sh601958,金钥股份,A股股票-新浪,,,120标准差小3.5,,,
462,sh603132,金徽股份,A股股票-新浪,,,120标准差小3.5,,,
463,sh603755,日辰股份,A股股票-新浪,,,120标准差小3.5,,,
464,sz000703,厦逸石化,A股股票-新浪,,,120标准差小3.5,,,
465,sz000786,北新建材,A股股票-新浪,,,120标准差小3.5,,,
466,sz000792,盐湖股份,A股股票-新浪,,,120标准差小3.5,,,
467,sz002223,鱼跃医疗,A股股票-新浪,,,120标准差小3.5,,,
468,sz002372,伟星新材,A股股票-新浪,,,120标准差小3.5,,,
469,159985,豆粕ETF,ETF-东财,,默认,商品ETF,,,多是单边行情
470,159980,有色ETF,ETF-东财,,默认,商品ETF,,,单边行情中等多
471,159981,能源化工ETF,ETF-东财,,默认,商品ETF,,,根据信号出现时的位置灵活判断要不要买
472,159501,纳斯达克指数ETF,ETF-东财,,高,同花顺-境外标的,,,
473,161130,纳斯达克100LOF,ETF-东财,,高,同花顺-境外标的,,,
474,159509,纳指科技ETF,ETF-东财,,高,同花顺-境外标的,,,
475,513290,纳指生物科技ETF,ETF-东财,,高,同花顺-境外标的,,,
476,161128,标普信息科技LOF,ETF-东财,,高,同花顺-境外标的,,,
477,159518,标普油气ETF,ETF-东财,,高,同花顺-境外标的,,,
478,159502,标普生物科技ETF,ETF-东财,,高,同花顺-境外标的,,,
479,161127,标普生物科技LOF,ETF-东财,,高,同花顺-境外标的,,,
480,159529,标普消费ETF,ETF-东财,,高,同花顺-境外标的,,,
481,162415,美国消费LOF,ETF-东财,,高,同花顺-境外标的,,,
482,161126,标普医疗保健LOF,ETF-东财,,高,同花顺-境外标的,,,
483,513400,道琼斯ETF,ETF-东财,,高,同花顺-境外标的,,,
484,160140,美国REIT精选LOF,ETF-东财,,高,同花顺-境外标的,,,ETF-东财获取不到数据
485,513850,美国50ETF,ETF-东财,,高,同花顺-境外标的,,,
486,501225,全球芯片LOF,ETF-东财,,高,同花顺-境外标的,,,
487,159561,德国ETF,ETF-东财,,高,同花顺-境外标的,,,
488,513080,法国CAC40ETF,ETF-东财,,高,同花顺-境外标的,,,
489,513880,日经225ETF,ETF-东财,,高,同花顺-境外标的,,,
490,513310,中韩半导体ETF,ETF-东财,,高,同花顺-境外标的,,,
491,513730,东南亚科技ETF,ETF-东财,,高,同花顺-境外标的,,,
492,520580,新兴亚洲ETF,ETF-东财,,高,同花顺-境外标的,,,
493,159687,亚太精选ETF,ETF-东财,,高,同花顺-境外标的,,,
494,159329,沙特ETF,ETF-东财,,高,同花顺-境外标的,,,
495,520830,沙特ETF,ETF-东财,,高,同花顺-境外标的,,,
496,164824,印度基金LOF,ETF-东财,,高,同花顺-境外标的,,,
497,161116,黄金主题LOF,ETF-东财,,高,同花顺-境外标的,,,
498,161129,原油LOF易方达,ETF-东财,,高,同花顺-境外标的,,,
499,162411,华宝油气LOF,ETF-东财,,高,同花顺-境外标的,,,
500,160723,嘉实原油LOF,ETF-东财,,高,同花顺-境外标的,,,
501,501018,南方原油LOF,ETF-东财,,高,同花顺-境外标的,,,
502,162719,石油LOF,ETF-东财,,高,同花顺-境外标的,,,
503,160416,石油基金LOF,ETF-东财,,高,同花顺-境外标的,,,ETF-东财获取不到数据
504,163208,全球油气能源LOF,ETF-东财,,高,同花顺-境外标的,,,
505,160216,国泰商品LOF,ETF-东财,,高,同花顺-境外标的,,,ETF-东财获取不到数据
506,165513,中信保诚商品LOF,ETF-东财,,高,同花顺-境外标的,,,
507,161815,抗通胀LOF,ETF-东财,,高,同花顺-境外标的,,,
